# [OII]3727+3729 [OIII]5007 [NII]6584 [SII]6717+6731 Z_direct_method Reference
# **********************************************************************************
# **** Please refer to Pilyugin & Grebel (2016) and Ho (2019) for details of   *****
# **** this compilation and cite corresponding paper(s) should this becomes    *****
# **** useful for your work                                                    *****
# **********************************************************************************
# Pilyugin & Grebel (2016) compilation
2.770    4.002    0.106    0.326    7.844    Izotov2004ApJ602
1.084    6.043    0.057    0.124    8.127    Izotov2004ApJ602
3.117    3.192    0.175    0.308    8.044    Izotov2004ApJ602
1.406    5.794    0.058    0.165    8.019    Izotov2004ApJ602
1.242    5.499    0.069    0.146    8.194    Izotov2004ApJ602
1.802    5.099    0.116    0.263    8.205    Izotov2004ApJ602
1.769    5.082    0.113    0.265    8.150    Izotov2004ApJ602
1.727    5.224    0.103    0.307    8.087    Izotov2004ApJ602
1.816    5.646    0.069    0.253    8.052    Izotov2004ApJ602
0.608    4.797    0.017    0.060    7.414    Izotov2004ApJ602
1.221    6.438    0.060    0.181    8.015    Izotov2004ApJ602
2.442    4.637    0.147    0.402    7.979    Izotov2004ApJ602
2.291    3.842    0.269    0.303    8.339    Izotov2004ApJ602
2.619    3.398    0.267    0.368    8.274    Izotov2004ApJ602
0.706    1.241    0.025    0.095    7.041    Izotov2005ApJ632
0.235    3.152    0.009    0.033    7.231    Izotov2009AA503
0.218    3.032    0.010    0.035    7.047    Izotov2009AA503
0.248    1.988    0.010    0.051    7.066    Izotov2009AA503
0.250    1.945    0.008    0.046    7.108    Izotov2009AA503
0.752    1.302    0.034    0.110    7.192    Izotov2009AA503
0.512    5.425    0.017    0.077    7.681    Izotov2011AA533
1.752    5.077    0.137    0.577    7.821    Kehrig2004AJ128
1.305    5.206    0.135    0.449    7.744    Kehrig2004AJ128
6.594    2.300    0.305    0.682    8.057    Kehrig2004AJ128
6.276    2.357    0.281    0.568    7.826    Kehrig2004AJ128
7.495    1.682    0.421    1.040    7.351    Kehrig2004AJ128
4.223    3.583    0.228    0.409    7.877    Kehrig2004AJ128
2.788    4.596    0.215    0.495    8.164    Kehrig2004AJ128
3.035    3.994    0.088    0.393    7.818    Kehrig2004AJ128
2.814    4.155    0.145    0.359    8.023    Kehrig2004AJ128
1.521    6.665    0.065    0.135    8.144    Kehrig2004AJ128
1.893    5.199    0.095    0.378    7.976    Kehrig2004AJ128
2.146    4.726    0.101    0.392    7.973    Kehrig2004AJ128
2.452    4.101    0.116    0.488    8.115    Kehrig2004AJ128
1.259    6.066    0.071    0.275    8.070    Kehrig2004AJ128
3.229    4.490    0.148    0.421    7.887    Kehrig2004AJ128
2.507    4.452    0.129    0.424    7.968    Kehrig2004AJ128
4.500    4.420    0.179    0.476    8.115    Kehrig2004AJ128
0.833    6.803    0.082    0.176    7.728    Kehrig2004AJ128
2.606    6.100    0.138    0.346    8.197    Kehrig2004AJ128
0.786    4.576    0.027    0.184    7.647    Kehrig2004AJ128
